,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin E, IU : 1.5",1.5,
1,"Vitamin K, mcg : 8",8.0,
2,"Thiamin (Vitamin B1), mcg : 100",100.0,
3,"Riboflavin (Vitamin B2), mcg : 150",150.0,
4,"Vitamin B6, mcg : 60",60.0,
5,"Vitamin B12, mcg : 0.25",0.25,
6,"Niacin, mcg : 1050",1050.0,
7,"Folic Acid (Folacin), mcg : 15",15.0,
8,"Pantothenic Acid, mcg : 450",450.0,
9,"Biotin, mcg : 4.4",4.4,
10,"Vitamin C (Ascorbic Acid), mg : 9",9.0,
11,"Choline, mg : 16",16.0,
12,"Inositol, mg : 4.7",4.7,
13,"Vitamin A, IU : 300",300.0,
14,"Vitamin D, IU : 60",60.0,
